
=== 2026-09-19T03:50:30.899Z  node index.js --config thesisExperiment/configs/phase2/T2d_He_small_world_mix_05.json
Loaded run config from: thesisExperiment/configs/phase2/T2d_He_small_world_mix_05.json

[Simulation] Experiment: T2d_He_small_world_mix_05_2026-09-19_03-50-30
[Simulation] Dir: /workspace/thesisExperiment/runs_phase2/T2d_He_small_world_mix_05_2026-09-19_03-50-30


[Simulation] === Propagating: scopex_2017 ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 1 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 1 message(s)
[Simulation]   Tick 3/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 3 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 1 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_4 (Platform moderator (Debnath Perspective-toxicity analogue)): 2 message(s)
[Simulation]     node_5 (Science journalist (expert/media voice for heterogeneous mix)): 2 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 2 message(s)
[Simulation]   Tick 4/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 3 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Platform moderator (Debnath Perspective-toxicity analogue)): 4 message(s)
[Simulation]     node_5 (Science journalist (expert/media voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 4 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 4 message(s)
[Simulation]   Tick 5/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Platform moderator (Debnath Perspective-toxicity analogue)): 4 message(s)
[Simulation]     node_5 (Science journalist (expert/media voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 4 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 4 message(s)
[Simulation]   Tick 6/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Platform moderator (Debnath Perspective-toxicity analogue)): 4 message(s)
[Simulation]     node_5 (Science journalist (expert/media voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 4 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 4 message(s)
[Simulation]   Tick 7/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Platform moderator (Debnath Perspective-toxicity analogue)): 4 message(s)
[Simulation]     node_5 (Science journalist (expert/media voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 4 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 4 message(s)
[Simulation]   Tick 8/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Platform moderator (Debnath Perspective-toxicity analogue)): 4 message(s)
[Simulation]     node_5 (Science journalist (expert/media voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 4 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 4 message(s)

[Simulation] === Propagating: chemtrails_gates_2018_2021 ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 1 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 1 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 1 message(s)
[Simulation]   Tick 3/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 2 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 2 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 1 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_4 (Platform moderator (Debnath Perspective-toxicity analogue)): 1 message(s)
[Simulation]     node_5 (Science journalist (expert/media voice for heterogeneous mix)): 1 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 1 message(s)
[Simulation]   Tick 4/8
[Simulation]     node_0 (Climate scientist (expert voice for heterogeneous mix)): 3 message(s)
[Simulation]     node_1 (Climate Action Advocate (Debnath non-conspiracy stream)): 4 message(s)
[Simulation]     node_2 (Climate-action piggyback conspiracist (Debnath hijack stream)): 4 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 4 message(s)
[Simulation]     node_4 (Platform moderator (Debnath Perspective-toxicity analogue)): 4 message(s)
[Simulation]     node_5 (Science journalist (expert/media voice for heterogeneous mix)): 4 message(s)
[Simulation]     node_6 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 4 message(s)
[Simulation]     node_7 (Peripheral skywatcher (Debnath low-centrality chemtrails, 2018–2021)): 4 message(s)
[Simulation]   Tick 5/8
