
=== 2026-09-19T04:17:53.649Z  node index.js --config thesisExperiment/configs/phase2/T2d_He_hierarchical_mix_03.json
Loaded run config from: thesisExperiment/configs/phase2/T2d_He_hierarchical_mix_03.json

[Simulation] Experiment: T2d_He_hierarchical_mix_03_2026-09-19_04-17-53
[Simulation] Dir: /workspace/thesisExperiment/runs_phase2/T2d_He_hierarchical_mix_03_2026-09-19_04-17-53


[Simulation] === Propagating: scopex_2017 ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   No propagation at tick 2, stopping.

[Simulation] === Propagating: chemtrails_gates_2018_2021 ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   Tick 3/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_7 (Climate justice youth organiser (Debnath climate-action variant)): 1 message(s)
[Simulation]   Tick 4/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   Tick 5/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_7 (Climate justice youth organiser (Debnath climate-action variant)): 1 message(s)
[Simulation]   Tick 6/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   Tick 7/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_7 (Climate justice youth organiser (Debnath climate-action variant)): 1 message(s)
[Simulation]   Tick 8/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)

[Simulation] === Propagating: sai_geoengineering ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   No propagation at tick 2, stopping.

[Simulation] === Propagating: paris_agreement ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   Tick 3/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_7 (Climate justice youth organiser (Debnath climate-action variant)): 1 message(s)
[Simulation]   Tick 4/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   Tick 5/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_7 (Climate justice youth organiser (Debnath climate-action variant)): 1 message(s)
[Simulation]   Tick 6/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   Tick 7/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_7 (Climate justice youth organiser (Debnath climate-action variant)): 1 message(s)
[Simulation]   Tick 8/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   No propagation at tick 8, stopping.

[Simulation] === Propagating: climate_consensus ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   Tick 3/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_7 (Climate justice youth organiser (Debnath climate-action variant)): 1 message(s)
[Simulation]   Tick 4/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   Tick 5/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_7 (Climate justice youth organiser (Debnath climate-action variant)): 1 message(s)
[Simulation]   Tick 6/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
[Simulation]     node_2 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_3 (Ozone / stratosphere concern voice (Debnath ozone neighbour)): 1 message(s)
[Simulation]   Tick 7/8
[Simulation]     node_0 (Geoengineering Conspiracy Believer (Debnath chemtrails cluster)): 1 message(s)
[Simulation]     node_7 (Climate justice youth organiser (Debnath climate-action variant)): 1 message(s)
[Simulation]   Tick 8/8
[Simulation]     node_1 (Mitigation-first policy analyst (Debnath climate-action / SRM-governance)): 1 message(s)
