topology,rest,articleId,meanMI_T2c,mpr_T2c,maxMI_T2c,kStar_T2c,nScored_T2c,meanMI_T2d,mpr_T2d,maxMI_T2d,kStar_T2d,meanDualGap,meanAgreement,nScored_T2d,delta_T2d_minus_T2c
echo_chamber,biodiversity_food_security,chemtrails_gates_2018_2021,1.0,1.0,0.9999999999999998,,142,2.0,2.0,2.0,,1.0,1.0,125,1.0
echo_chamber,biodiversity_food_security,sai_geoengineering,0.1148,0.1183,1.5000000000000002,,122,1.0794,1.0756,3.0,,1.0556,0.6021,126,0.9645999999999999
echo_chamber,biodiversity_food_security,polar_bears,0.0,0.0,0.0,,133,0.609,0.5933,2.0,,0.609,,133,0.609
echo_chamber,climate_action_advocate,scopex_2017,0.0,0.0,0.0,,8,0.8085,0.8088,1.0,,0.8014,0.375,141,0.8085
echo_chamber,climate_action_advocate,paris_agreement,0.0,0.0,0.0,,6,0.0735,0.0708,2.0,,0.0735,,136,0.0735
echo_chamber,climate_justice_youth,scopex_2017,0.0176,0.0199,1.5000000000000002,,142,2.6788,2.7051,5.0,8.0,2.292,0.5521,137,2.6612
echo_chamber,climate_justice_youth,chemtrails_gates_2018_2021,0.0956,0.0913,0.9999999999999998,,136,1.7483,1.7765,2.0,,0.9161,0.9725,143,1.6527
echo_chamber,climate_justice_youth,sai_geoengineering,0.0468,0.0472,0.4999999999999999,,139,1.0977,1.1061,3.0,,1.094,1.0,133,1.0509
echo_chamber,climate_justice_youth,paris_agreement,0.0187,0.017,0.9999999999999998,,134,0.2748,0.2684,2.0,,0.2748,,131,0.2561
echo_chamber,climate_justice_youth,climate_consensus,0.056,0.0598,1.5000000000000002,,125,1.9593,1.965,3.0,,1.6707,0.8938,123,1.9033
echo_chamber,climate_justice_youth,polar_bears,0.0044,0.0042,0.4999999999999999,,114,1.1888,1.1862,4.0,,1.1259,0.6512,143,1.1844000000000001
echo_chamber,climate_scientist,scopex_2017,0.0,0.0,0.0,,139,0.007,0.0078,1.0,,0.007,,143,0.007
echo_chamber,climate_scientist,chemtrails_gates_2018_2021,0.0102,0.01,0.4999999999999999,,147,0.0149,0.0185,1.0,,0.0164,,134,0.004699999999999999
echo_chamber,climate_scientist,sai_geoengineering,0.0037,0.0035,0.4999999999999999,,134,1.0448,1.046,2.0,,1.0448,,134,1.0411
echo_chamber,climate_scientist,polar_bears,0.0,0.0,0.0,,135,1.6324,1.6398,2.0,,1.6324,,136,1.6324
echo_chamber,conspiracy_believer,scopex_2017,2.2881,2.3606,5.0,,59,4.1111,4.1252,5.0,1.0,2.2951,0.2265,144,1.8230000000000004
echo_chamber,conspiracy_believer,sai_geoengineering,0.4,0.3333,0.9999999999999998,,5,2.3534,2.3567,4.0,,1.5263,0.5468,133,1.9534000000000002
echo_chamber,conspiracy_believer,paris_agreement,4.6429,4.6429,5.0,6.0,7,4.5159,4.5289,5.0,3.0,0.577,-0.0797,126,-0.12699999999999978
echo_chamber,conspiracy_believer,climate_consensus,5.0,5.0,5.0,4.0,5,4.9925,4.9911,5.0,1.0,0.0075,,133,-0.007500000000000284
echo_chamber,conspiracy_believer,polar_bears,0.1429,0.2,0.9999999999999998,,7,1.3103,1.3149,5.0,,0.8405,,116,1.1674
echo_chamber,conspiracy_climate_piggyback,scopex_2017,1.6077,1.5125,3.0,,13,1.2707,1.2577,4.0,,1.0376,0.5582,133,-0.33699999999999997
echo_chamber,conspiracy_climate_piggyback,chemtrails_gates_2018_2021,3.8,3.8,4.0,6.0,5,3.6471,3.6391,5.0,4.0,1.0065,0.7872,153,-0.1528999999999998
echo_chamber,conspiracy_climate_piggyback,sai_geoengineering,0.4167,0.4,1.5000000000000002,,6,2.4631,2.4731,5.0,,1.4987,0.5425,149,2.0463999999999998
echo_chamber,conspiracy_climate_piggyback,paris_agreement,1.5,1.5,2.0,,2,2.5035,2.4825,5.0,,0.9832,0.579,143,1.0034999999999998
echo_chamber,conspiracy_climate_piggyback,climate_consensus,5.0,5.0,5.0,6.0,7,4.7344,4.7324,5.0,3.0,0.0859,0.7889,128,-0.26560000000000006
echo_chamber,conspiracy_climate_piggyback,polar_bears,0.0,0.0,0.0,,5,0.3897,0.3849,2.0,,0.386,0.6124,136,0.3897
echo_chamber,conspiracy_depopulation,scopex_2017,1.9615,1.9063,3.0,,13,3.4488,3.456,5.0,4.0,1.8701,0.0056,127,1.4872999999999998
echo_chamber,conspiracy_depopulation,chemtrails_gates_2018_2021,3.3333,3.4,3.5,,6,4.9371,4.943,5.0,1.0,1.1846,0.6827,143,1.6038000000000001
echo_chamber,conspiracy_depopulation,sai_geoengineering,0.375,0.5,3.0,,8,1.0963,1.1112,3.0,,1.0741,0.5294,135,0.7213
echo_chamber,conspiracy_depopulation,paris_agreement,1.3333,1.3333,2.0,,3,4.4476,4.4403,5.0,3.0,1.3566,-0.205,143,3.1143000000000005
echo_chamber,conspiracy_depopulation,climate_consensus,5.0,5.0,5.0,6.0,6,5.0,5.0,5.0,1.0,0.1295,1.0,139,0.0
echo_chamber,conspiracy_depopulation,polar_bears,0.0,0.0,0.0,,8,0.913,0.9151,2.0,,0.9094,0.25,138,0.913
echo_chamber,conspiracy_haarp_weather,chemtrails_gates_2018_2021,2.8847,2.8846,5.0,6.0,137,4.625,4.6185,5.0,1.0,0.8721,0.6347,104,1.7403
echo_chamber,conspiracy_haarp_weather,sai_geoengineering,0.4876,0.5434,4.0,,105,1.9574,1.9659,5.0,,1.5106,0.4495,141,1.4698
echo_chamber,conspiracy_haarp_weather,paris_agreement,3.4,3.5625,5.0,,15,3.814,3.8439,5.0,3.0,1.3527,0.3256,129,0.41400000000000015
echo_chamber,conspiracy_haarp_weather,climate_consensus,4.5625,4.375,5.0,4.0,8,5.0,5.0,5.0,1.0,0.0172,1.0,145,0.4375
echo_chamber,conspiracy_haarp_weather,polar_bears,0.0,0.0,0.0,,5,0.5429,0.5359,3.0,,0.5429,,140,0.5429
echo_chamber,environmental_concern,scopex_2017,0.0,0.0,0.0,,136,0.1773,0.1752,1.0,,0.1596,1.0,141,0.1773
echo_chamber,environmental_concern,chemtrails_gates_2018_2021,0.0108,0.0116,0.4999999999999999,,139,1.875,1.8812,3.0,,1.0858,0.8538,120,1.8642
echo_chamber,environmental_concern,paris_agreement,0.0139,0.025,0.9999999999999998,,72,0.4786,0.4583,2.0,,0.3929,0.7357,140,0.4647
echo_chamber,environmental_concern,climate_consensus,0.0,0.0,0.0,,134,0.625,0.6314,2.0,,0.6213,1.0,136,0.625
echo_chamber,environmental_concern,polar_bears,0.0,0.0,0.0,,136,1.2336,1.2381,2.0,,1.219,-0.1345,137,1.2336
echo_chamber,mitigation_first_policy,scopex_2017,0.0,0.0,0.0,,143,0.066,0.0566,1.0,,0.066,,106,0.066
echo_chamber,mitigation_first_policy,chemtrails_gates_2018_2021,0.0,0.0,0.0,,143,0.1691,0.1604,2.0,,0.1529,1.0,136,0.1691
